game_id,player1,player2,winner
jeffBot1669551974.303259,jeff,Bot,jeff
jeffemily1669552164.830233,jeff,emily,jeff
jeffBot1669552476.520794,jeff,Bot,
EmilyBot1669552658.557786,Emily,Bot,Bot
EmilyBot1669552697.944347,Emily,Bot,
EmilyBot1669552793.424584,Emily,Bot,Emily
jeffBot1669553407.269564,jeff,Bot,Bot
emilyjeff1669553452.31387,emily,jeff,emily
emilyjeff1669553703.678697,emily,jeff,emily
EmilyBot1669553731.651781,Emily,Bot,Bot
Emilyjeff1669553764.939838,Emily,jeff,
loserBot1669553914.57367,loser,Bot,
loserBot1669553990.586216,loser,Bot,
loserBot1669554012.220022,loser,Bot,Bot
jeffloser1669554042.826044,jeff,loser,jeff
emilyloser1669554111.055961,emily,loser,emily
emilyloser1669554167.366992,emily,loser,emily
jeffloser1669554232.338672,jeff,loser,jeff
